country,GDP (current US$)
United States,23315080560000.0
Japan,4940877780755.33
Germany,4259934911821.64
United Kingdom,3131377762925.95
France,2957879759263.52
Italy,2107702842669.73
Canada,1988336331717.42
"Korea, Rep.",1810955871380.98
Australia,1552667363236.06
Spain,1427380681294.55
Netherlands,1012846760976.73
Saudi Arabia,833541236569.315
Switzerland,800640155387.26
Poland,679444832854.295
Sweden,635663801201.765
Belgium,594104177539.525
Ireland,504182603275.542
Israel,488526545878.891
Norway,482174854481.956
Austria,480368403893.364
United Arab Emirates,415021590683.006
Denmark,398303272764.46
Singapore,396986899888.351
"Hong Kong SAR, China",369176400967.427
Chile,317058508651.76
